,oai,datestamp,language,speaker,doi,length,uri,requires,type
0,oai:crdo.vjf.cnrs.fr:cocoon-cf85a438-7a21-36d2-ac0b-d04d7c0789d0,2020-11-28,Na-našu (Acquaviva Collecroce),"Peca, Gilda",10.24397/PANGLOSS-0000698,64.0,https://cocoon.huma-num.fr/data/archi/masters/343907.wav,,
1,oai:crdo.vjf.cnrs.fr:cocoon-f031bcb4-ae4e-3d7a-8966-91ad43d6e825,2020-11-29,Na-našu,"Peca, Gilda",10.24397/PANGLOSS-0000699,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_POIVRONS.xml,oai:crdo.vjf.cnrs.fr:cocoon-cf85a438-7a21-36d2-ac0b-d04d7c0789d0,
2,oai:crdo.vjf.cnrs.fr:cocoon-a3325d12-e0ea-3ee1-b13f-ecb64b74802a,2020-11-28,Na-našu,"Peca, Gilda",10.24397/PANGLOSS-0000700,38.0,https://cocoon.huma-num.fr/data/archi/masters/343904.wav,,
3,oai:crdo.vjf.cnrs.fr:cocoon-b58f43c0-a0da-30e1-a08b-b3b11ddcebb1,2020-11-29,Na-našu,"Peca, Gilda",10.24397/PANGLOSS-0000701,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_PALATA.xml,oai:crdo.vjf.cnrs.fr:cocoon-a3325d12-e0ea-3ee1-b13f-ecb64b74802a,
4,oai:crdo.vjf.cnrs.fr:cocoon-1350595f-9d1f-3d42-96c4-7fdb83fdd289,2020-11-28,Na-našu,"Piccoli, Giovanni",10.24397/PANGLOSS-0000702,54.0,https://cocoon.huma-num.fr/data/archi/masters/343896.wav,,
5,oai:crdo.vjf.cnrs.fr:cocoon-2b7aa6fc-80fc-3815-b7ce-98e622cd0e73,2020-11-29,Na-našu,"Piccoli, Giovanni",10.24397/PANGLOSS-0000703,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_LIQUEUR.xml,oai:crdo.vjf.cnrs.fr:cocoon-1350595f-9d1f-3d42-96c4-7fdb83fdd289,
6,oai:crdo.vjf.cnrs.fr:cocoon-6e8c256d-60f8-39db-a3e0-94b791179b9d,2020-11-28,Na-našu,"Piccoli, Giovanni",10.24397/PANGLOSS-0000704,154.0,https://cocoon.huma-num.fr/data/archi/masters/343894.wav,,
7,oai:crdo.vjf.cnrs.fr:cocoon-d6b3ecd0-1343-326f-98d6-8aa46ac6c52b,2020-11-29,Na-našu,"Piccoli, Giovanni",10.24397/PANGLOSS-0000705,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_LIEVRE.xml,oai:crdo.vjf.cnrs.fr:cocoon-6e8c256d-60f8-39db-a3e0-94b791179b9d,
8,oai:crdo.vjf.cnrs.fr:cocoon-ac60b1fe-1837-3771-988b-60ebd16e4229,2020-11-28,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000706,105.0,https://cocoon.huma-num.fr/data/archi/masters/343920.wav,,
9,oai:crdo.vjf.cnrs.fr:cocoon-360e49a9-4208-3e15-9724-77c5c33e9809,2020-11-29,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000707,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_TRACTEUR.xml,oai:crdo.vjf.cnrs.fr:cocoon-ac60b1fe-1837-3771-988b-60ebd16e4229,
10,oai:crdo.vjf.cnrs.fr:cocoon-c2a2325d-65cd-39ef-9e94-c259e178149b,2020-11-28,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000708,84.0,https://cocoon.huma-num.fr/data/archi/masters/343892.wav,,
11,oai:crdo.vjf.cnrs.fr:cocoon-6298a292-a94f-342f-8b18-153b961bb662,2020-11-29,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000709,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_HUILE.xml,oai:crdo.vjf.cnrs.fr:cocoon-c2a2325d-65cd-39ef-9e94-c259e178149b,
12,oai:crdo.vjf.cnrs.fr:cocoon-a1adb34c-c1c2-3bc0-a0e3-b9df97c6f155,2020-11-28,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000710,125.0,https://cocoon.huma-num.fr/data/archi/masters/343923.wav,,
13,oai:crdo.vjf.cnrs.fr:cocoon-6beaee6a-42b8-3820-8180-0e9a626ec5de,2020-11-29,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000711,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_VOYAGE.xml,oai:crdo.vjf.cnrs.fr:cocoon-a1adb34c-c1c2-3bc0-a0e3-b9df97c6f155,
14,oai:crdo.vjf.cnrs.fr:cocoon-d33ef2ca-3cf0-3757-82ca-49223b6b49ae,2020-11-28,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000712,281.0,https://cocoon.huma-num.fr/data/archi/masters/343891.wav,,
15,oai:crdo.vjf.cnrs.fr:cocoon-00172dd0-bffd-3f0b-aeec-1fc46669a31a,2020-11-29,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000713,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_GUERRE.xml,oai:crdo.vjf.cnrs.fr:cocoon-d33ef2ca-3cf0-3757-82ca-49223b6b49ae,
16,oai:crdo.vjf.cnrs.fr:cocoon-6af04a0f-aab9-3fe9-a35e-ffe556e9c9f8,2020-11-28,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000714,105.0,https://cocoon.huma-num.fr/data/archi/masters/343917.wav,,
17,oai:crdo.vjf.cnrs.fr:cocoon-3ce3ccde-a310-3e84-be2b-eecc86474000,2020-11-29,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000715,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_SOURIS.xml,oai:crdo.vjf.cnrs.fr:cocoon-6af04a0f-aab9-3fe9-a35e-ffe556e9c9f8,
18,oai:crdo.vjf.cnrs.fr:cocoon-90ceee1d-3343-32ef-ac54-4535c124bab7,2020-11-28,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000716,147.0,https://cocoon.huma-num.fr/data/archi/masters/368214.wav,,
19,oai:crdo.vjf.cnrs.fr:cocoon-5ae3451c-01f2-3b24-adf1-2b9daa599b6e,2020-11-29,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000717,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_GRENOUILLE1.xml,oai:crdo.vjf.cnrs.fr:cocoon-90ceee1d-3343-32ef-ac54-4535c124bab7,
20,oai:crdo.vjf.cnrs.fr:cocoon-05219129-606b-398b-bf4c-ec26d7377beb,2020-11-28,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000718,136.0,https://cocoon.huma-num.fr/data/archi/masters/343912.wav,,
21,oai:crdo.vjf.cnrs.fr:cocoon-bae6ffd3-cc24-3092-b9f8-15ef21d18dce,2020-11-29,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000719,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_RICOTTA.xml,oai:crdo.vjf.cnrs.fr:cocoon-05219129-606b-398b-bf4c-ec26d7377beb,
22,oai:crdo.vjf.cnrs.fr:cocoon-2aea6dbf-f065-3579-b2a9-ab19258e14cc,2020-11-28,Na-našu,"Spadanuda, Natalina",10.24397/PANGLOSS-0000720,320.0,https://cocoon.huma-num.fr/data/archi/masters/343910.wav,,
23,oai:crdo.vjf.cnrs.fr:cocoon-8d139220-20a4-3f74-a2e3-989bbbea840b,2020-11-29,Na-našu,"Spadanuda, Natalina",10.24397/PANGLOSS-0000721,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_RENARD.xml,oai:crdo.vjf.cnrs.fr:cocoon-2aea6dbf-f065-3579-b2a9-ab19258e14cc,
24,oai:crdo.vjf.cnrs.fr:cocoon-62cc7426-1671-3f73-92a1-4600fa98a405,2020-11-28,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000722,160.0,https://cocoon.huma-num.fr/data/archi/masters/343914.wav,,
25,oai:crdo.vjf.cnrs.fr:cocoon-f52ad0da-df94-3b23-a2fc-7d399997950c,2020-11-29,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000723,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_SORCIERE1.xml,oai:crdo.vjf.cnrs.fr:cocoon-62cc7426-1671-3f73-92a1-4600fa98a405,
26,oai:crdo.vjf.cnrs.fr:cocoon-1649cf95-ef26-3b11-b901-4186fcf0057f,2020-11-28,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000724,49.0,https://cocoon.huma-num.fr/data/archi/masters/343897.wav,,
27,oai:crdo.vjf.cnrs.fr:cocoon-ef0da694-e43e-3214-828e-57a8fb3a8b34,2020-11-29,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000725,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_LUTINS1.xml,oai:crdo.vjf.cnrs.fr:cocoon-1649cf95-ef26-3b11-b901-4186fcf0057f,
28,oai:crdo.vjf.cnrs.fr:cocoon-e43cda93-f32f-3dad-95c7-775804f55110,2020-11-28,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000726,92.0,https://cocoon.huma-num.fr/data/archi/masters/343868.wav,,
29,oai:crdo.vjf.cnrs.fr:cocoon-e7806a16-cb5a-3d1f-b06a-bccc9b917307,2020-11-29,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000727,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_CHANCE.xml,oai:crdo.vjf.cnrs.fr:cocoon-e43cda93-f32f-3dad-95c7-775804f55110,
30,oai:crdo.vjf.cnrs.fr:cocoon-1fd22e20-1ad2-3b58-a106-a3a231618568,2020-11-28,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000728,101.0,https://cocoon.huma-num.fr/data/archi/masters/343874.wav,,
31,oai:crdo.vjf.cnrs.fr:cocoon-9de36129-0724-325a-98c0-15e06e2d569a,2020-11-29,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000729,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_DESORDRES.xml,oai:crdo.vjf.cnrs.fr:cocoon-1fd22e20-1ad2-3b58-a106-a3a231618568,
32,oai:crdo.vjf.cnrs.fr:cocoon-146ad304-f306-3cd2-8401-56055d2fc32c,2020-11-28,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000730,49.0,https://cocoon.huma-num.fr/data/archi/masters/343884.wav,,
33,oai:crdo.vjf.cnrs.fr:cocoon-a10fa4bd-f3d7-3dae-b823-e1b807b4c7b5,2020-11-29,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000731,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_FILLE.xml,oai:crdo.vjf.cnrs.fr:cocoon-146ad304-f306-3cd2-8401-56055d2fc32c,
34,oai:crdo.vjf.cnrs.fr:cocoon-99e11b6b-d2b0-3ba7-96d1-b282422ce26e,2020-11-28,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000732,100.0,https://cocoon.huma-num.fr/data/archi/masters/343915.wav,,
35,oai:crdo.vjf.cnrs.fr:cocoon-9070a335-5e2f-3620-a552-76425923c8f3,2020-11-29,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000733,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_SORCIERE2.xml,oai:crdo.vjf.cnrs.fr:cocoon-99e11b6b-d2b0-3ba7-96d1-b282422ce26e,
36,oai:crdo.vjf.cnrs.fr:cocoon-bdab6c53-7c26-346b-a766-150412de4dc0,2020-11-28,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000734,49.0,https://cocoon.huma-num.fr/data/archi/masters/343898.wav,,
37,oai:crdo.vjf.cnrs.fr:cocoon-91a3a3d9-911f-3a2c-909e-01906f5f7d9f,2020-11-29,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000735,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_LUTINS2.xml,oai:crdo.vjf.cnrs.fr:cocoon-bdab6c53-7c26-346b-a766-150412de4dc0,
38,oai:crdo.vjf.cnrs.fr:cocoon-ccad46ed-c915-371d-b3e5-6efcdc7ebc0b,2020-11-28,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000736,80.0,https://cocoon.huma-num.fr/data/archi/masters/343908.wav,,
39,oai:crdo.vjf.cnrs.fr:cocoon-9c6c63b8-3c42-3157-8352-49cd521c9af9,2020-11-29,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000737,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_RECOLTE.xml,oai:crdo.vjf.cnrs.fr:cocoon-ccad46ed-c915-371d-b3e5-6efcdc7ebc0b,
40,oai:crdo.vjf.cnrs.fr:cocoon-0c2659bd-160b-3018-99b8-98a33182db2b,2020-11-28,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000738,51.0,https://cocoon.huma-num.fr/data/archi/masters/343867.wav,,
41,oai:crdo.vjf.cnrs.fr:cocoon-b109ac16-1490-309f-9e60-54146c1f9a9b,2020-11-29,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000739,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_BOUTEILLE.xml,oai:crdo.vjf.cnrs.fr:cocoon-0c2659bd-160b-3018-99b8-98a33182db2b,
42,oai:crdo.vjf.cnrs.fr:cocoon-d54a7aed-186e-3ff2-ac30-469d70266756,2020-11-28,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000740,128.0,https://cocoon.huma-num.fr/data/archi/masters/343870.wav,,
43,oai:crdo.vjf.cnrs.fr:cocoon-824179fb-ee26-3719-94b8-91fcca69ebfa,2020-11-29,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000741,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_CHAPERON_ROUGE.xml,oai:crdo.vjf.cnrs.fr:cocoon-d54a7aed-186e-3ff2-ac30-469d70266756,
44,oai:crdo.vjf.cnrs.fr:cocoon-bc881b8e-731d-3cca-a652-8761646f1bd4,2020-11-28,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000742,63.0,https://cocoon.huma-num.fr/data/archi/masters/343865.wav,,
45,oai:crdo.vjf.cnrs.fr:cocoon-fe5eeeb7-8727-301a-923b-2166438bfc8a,2020-11-29,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000743,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_BONIFACIO.xml,oai:crdo.vjf.cnrs.fr:cocoon-bc881b8e-731d-3cca-a652-8761646f1bd4,
46,oai:crdo.vjf.cnrs.fr:cocoon-5db1c2a7-5af1-3127-9861-602bd418162a,2020-11-28,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000744,77.0,https://cocoon.huma-num.fr/data/archi/masters/343880.wav,,
47,oai:crdo.vjf.cnrs.fr:cocoon-d2a749da-a07d-30db-8649-49323abb1e0b,2020-11-29,Na-našu,"Gliosca, Rino John",10.24397/PANGLOSS-0000745,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_FILIBERT.xml,oai:crdo.vjf.cnrs.fr:cocoon-5db1c2a7-5af1-3127-9861-602bd418162a,
48,oai:crdo.vjf.cnrs.fr:cocoon-b370daa4-58de-3f4f-84b7-46678ed9800b,2020-11-28,Na-našu,"Spadanuda, Natalina",10.24397/PANGLOSS-0000746,469.0,https://cocoon.huma-num.fr/data/archi/masters/343878.wav,,
49,oai:crdo.vjf.cnrs.fr:cocoon-85ae421c-2943-325b-a360-bebb9ae7630f,2020-11-29,Na-našu,"Spadanuda, Natalina",10.24397/PANGLOSS-0000747,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_ENFANT.xml,oai:crdo.vjf.cnrs.fr:cocoon-b370daa4-58de-3f4f-84b7-46678ed9800b,
50,oai:crdo.vjf.cnrs.fr:cocoon-a67d0b37-bbb1-30e4-afd8-6221cc7c6862,2020-11-28,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000748,79.0,https://cocoon.huma-num.fr/data/archi/masters/343864.wav,,
51,oai:crdo.vjf.cnrs.fr:cocoon-255165c2-68ed-3ae5-b446-2a56c4afcbb8,2020-11-29,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000749,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_ANE.xml,oai:crdo.vjf.cnrs.fr:cocoon-a67d0b37-bbb1-30e4-afd8-6221cc7c6862,
52,oai:crdo.vjf.cnrs.fr:cocoon-111282f8-8e4b-3522-8fc5-3b3e626d12fd,2020-11-28,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000750,59.0,https://cocoon.huma-num.fr/data/archi/masters/343877.wav,,
53,oai:crdo.vjf.cnrs.fr:cocoon-969d5118-3bd0-35b8-b293-5cf2b27f3731,2020-11-29,Na-našu,"Gliosca, Nicola",10.24397/PANGLOSS-0000751,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_ECLAIRS.xml,oai:crdo.vjf.cnrs.fr:cocoon-111282f8-8e4b-3522-8fc5-3b3e626d12fd,
54,oai:crdo.vjf.cnrs.fr:cocoon-b7c62040-426b-3850-a156-b8952fb3c39d,2020-11-28,Croate du Burgenland,Josef Mersich,10.24397/PANGLOSS-0000752,167.0,https://cocoon.huma-num.fr/data/archi/masters/343849.wav,,
55,oai:crdo.vjf.cnrs.fr:cocoon-c5e86037-9202-3870-875c-908d01c3e5e8,2022-02-26,Croate du Burgenland,Josef Mersich,10.24397/PANGLOSS-0000753,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_GRENOUILLE.xml,oai:crdo.vjf.cnrs.fr:cocoon-b7c62040-426b-3850-a156-b8952fb3c39d,
56,oai:crdo.vjf.cnrs.fr:cocoon-74b7966c-6299-3b19-b307-b953c9cc06c8,2020-11-28,Croate du Burgenland,Josef Mersich,10.24397/PANGLOSS-0000754,128.0,https://cocoon.huma-num.fr/data/archi/masters/343850.wav,,
57,oai:crdo.vjf.cnrs.fr:cocoon-fb702ba6-4a17-3fd9-8326-64e0288fcf27,2022-02-26,Croate du Burgenland,Josef Mersich,10.24397/PANGLOSS-0000755,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_MARIAGE.xml,oai:crdo.vjf.cnrs.fr:cocoon-74b7966c-6299-3b19-b307-b953c9cc06c8,
58,oai:crdo.vjf.cnrs.fr:cocoon-5ee51ea7-0544-3228-a767-9f21b0124a77,2020-11-28,Croate du Burgenland,Josef Mersich,10.24397/PANGLOSS-0000756,67.0,https://cocoon.huma-num.fr/data/archi/masters/343846.wav,,
59,oai:crdo.vjf.cnrs.fr:cocoon-3334f2d3-f4e5-37eb-b80b-3999bef7ce1f,2022-02-26,Croate du Burgenland,Josef Mersich,10.24397/PANGLOSS-0000757,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_GENDARME.xml,oai:crdo.vjf.cnrs.fr:cocoon-5ee51ea7-0544-3228-a767-9f21b0124a77,
60,oai:crdo.vjf.cnrs.fr:cocoon-e2b2412e-45e6-3c7a-ae2f-7e4dd385aa53,2020-11-28,Croate du Burgenland,Angela Schumich,10.24397/PANGLOSS-0000758,150.0,https://cocoon.huma-num.fr/data/archi/masters/343843.wav,,
61,oai:crdo.vjf.cnrs.fr:cocoon-bf9e9b3d-1cf9-3381-b6d7-871f2cc659b0,2022-02-26,Croate du Burgenland,Angela Schumich,10.24397/PANGLOSS-0000759,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_ECOLE.xml,oai:crdo.vjf.cnrs.fr:cocoon-e2b2412e-45e6-3c7a-ae2f-7e4dd385aa53,
62,oai:crdo.vjf.cnrs.fr:cocoon-c49a2658-e998-33ea-8f1e-ec546a410d11,2020-11-28,Croate du Burgenland,Jakob Dannenmeier,10.24397/PANGLOSS-0000760,212.0,https://cocoon.huma-num.fr/data/archi/masters/343847.wav,,
63,oai:crdo.vjf.cnrs.fr:cocoon-67c1bf2d-568d-38d6-a47a-2822e2edac16,2022-02-26,Croate du Burgenland,Jakob Dannenmeier,10.24397/PANGLOSS-0000761,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_GRENOUILLE1.xml,oai:crdo.vjf.cnrs.fr:cocoon-c49a2658-e998-33ea-8f1e-ec546a410d11,
64,oai:crdo.vjf.cnrs.fr:cocoon-8d1fc134-cd80-3bca-994c-79eca1759db5,2020-11-28,Croate du Burgenland,Katharina Schumich,10.24397/PANGLOSS-0000762,145.0,https://cocoon.huma-num.fr/data/archi/masters/343853.wav,,
65,oai:crdo.vjf.cnrs.fr:cocoon-10b1be33-4c29-33ab-bb33-b3d55298c267,2022-02-26,Croate du Burgenland,Katharina Schumich,10.24397/PANGLOSS-0000763,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_VIE.xml,oai:crdo.vjf.cnrs.fr:cocoon-8d1fc134-cd80-3bca-994c-79eca1759db5,
66,oai:crdo.vjf.cnrs.fr:cocoon-bf89e789-e3ab-3056-8453-80fa4fa31c9e,2020-11-28,Croate du Burgenland,Mirko Szinovatz,10.24397/PANGLOSS-0000764,269.0,https://cocoon.huma-num.fr/data/archi/masters/343852.wav,,
67,oai:crdo.vjf.cnrs.fr:cocoon-e4fde158-b491-33a5-83aa-76437dc666fe,2022-02-26,Croate du Burgenland,Mirko Szinovatz,10.24397/PANGLOSS-0000765,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_SOURIS.xml,oai:crdo.vjf.cnrs.fr:cocoon-bf89e789-e3ab-3056-8453-80fa4fa31c9e,
68,oai:crdo.vjf.cnrs.fr:cocoon-5a2e4d6a-e59d-3776-b22c-9044e233fa63,2020-11-28,Croate du Burgenland,Monika Schumich,10.24397/PANGLOSS-0000766,204.0,https://cocoon.huma-num.fr/data/archi/masters/343844.wav,,
69,oai:crdo.vjf.cnrs.fr:cocoon-15b0fcb9-2adb-3b1b-9fd3-17f87c0b1b5e,2022-02-26,Croate du Burgenland,Monika Schumich,10.24397/PANGLOSS-0000767,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_FAMILLE.xml,oai:crdo.vjf.cnrs.fr:cocoon-5a2e4d6a-e59d-3776-b22c-9044e233fa63,
70,oai:crdo.vjf.cnrs.fr:cocoon-e3791e2c-11ee-3de7-819e-f7e19308b0b6,2020-11-28,Croate du Burgenland,Maria Pintarich,10.24397/PANGLOSS-0000768,90.0,https://cocoon.huma-num.fr/data/archi/masters/343851.wav,,
71,oai:crdo.vjf.cnrs.fr:cocoon-a6638b88-4bee-3118-8c0e-ef8fea82c56b,2022-02-26,Croate du Burgenland,Monika Schumich,10.24397/PANGLOSS-0000769,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_PLUMES.xml,oai:crdo.vjf.cnrs.fr:cocoon-e3791e2c-11ee-3de7-819e-f7e19308b0b6,
72,oai:crdo.vjf.cnrs.fr:cocoon-69c1bc8f-2a10-315c-ac22-7ab1d23527e7,2020-11-28,Croate du Burgenland,Maria Schwarz,10.24397/PANGLOSS-0000770,124.0,https://cocoon.huma-num.fr/data/archi/masters/343842.wav,,
73,oai:crdo.vjf.cnrs.fr:cocoon-9e258ceb-14c5-3158-8a21-ab7b0c28b775,2022-02-26,Croate du Burgenland,Monika Schumich,10.24397/PANGLOSS-0000771,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_AGRICULTURE.xml,oai:crdo.vjf.cnrs.fr:cocoon-69c1bc8f-2a10-315c-ac22-7ab1d23527e7,
74,oai:crdo.vjf.cnrs.fr:cocoon-921c95ba-0b35-34d7-a91c-fd09962ef469,2020-11-28,Croate du Burgenland,Hans Rudolf Haller,10.24397/PANGLOSS-0000772,84.0,https://cocoon.huma-num.fr/data/archi/masters/343845.wav,,
75,oai:crdo.vjf.cnrs.fr:cocoon-e22bb3e7-96e3-3481-887f-5704544b7fc9,2022-02-26,Croate du Burgenland,Monika Schumich,10.24397/PANGLOSS-0000773,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_GENDARME1.xml,oai:crdo.vjf.cnrs.fr:cocoon-921c95ba-0b35-34d7-a91c-fd09962ef469,
76,oai:crdo.vjf.cnrs.fr:cocoon-443c1b09-3508-3c34-97ce-2e441151025a,2020-11-28,Croate du Burgenland,Irma Dragschitz,10.24397/PANGLOSS-0000774,247.0,https://cocoon.huma-num.fr/data/archi/masters/343848.wav,,
77,oai:crdo.vjf.cnrs.fr:cocoon-4aa52206-0dcb-37a9-a713-1d3e3886402c,2022-02-26,Croate du Burgenland,Irma Dragschitz,10.24397/PANGLOSS-0000775,,https://cocoon.huma-num.fr/data/breu/masters/crdo-HRV_GRENOUILLE2.xml,oai:crdo.vjf.cnrs.fr:cocoon-443c1b09-3508-3c34-97ce-2e441151025a,
78,oai:crdo.vjf.cnrs.fr:cocoon-c7da0940-7fb0-3da9-b2fa-d1911b92ba6f,2020-11-29,Na-našu,"Giorgetta, Antonio",10.24397/PANGLOSS-0000776,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_GENDARME.xml,oai:crdo.vjf.cnrs.fr:cocoon-02cab8a7-167f-3a15-90d6-e3f97512f297,
79,oai:crdo.vjf.cnrs.fr:cocoon-02cab8a7-167f-3a15-90d6-e3f97512f297,2020-11-28,Na-našu,"Giorgetta, Antonio",10.24397/PANGLOSS-0000777,66.0,https://cocoon.huma-num.fr/data/archi/masters/363012.wav,,
80,oai:crdo.vjf.cnrs.fr:cocoon-6dd05b7b-2349-399b-89af-67512d7bdb2f,2020-11-29,Na-našu,"Bartolino, Lucio",10.24397/PANGLOSS-0000778,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_TRUFFES.xml,oai:crdo.vjf.cnrs.fr:cocoon-440f1ef4-e50f-3244-8c7e-63d7a559cf4e,
81,oai:crdo.vjf.cnrs.fr:cocoon-440f1ef4-e50f-3244-8c7e-63d7a559cf4e,2020-11-28,Na-našu,"Bartolino, Lucio",10.24397/PANGLOSS-0000779,281.0,https://cocoon.huma-num.fr/data/archi/masters/343921.wav,,
82,oai:crdo.vjf.cnrs.fr:cocoon-129fb91f-3f5e-30bd-be89-6bb5a6d7c31e,2020-11-29,Na-našu,"Bartolino, Lucio",10.24397/PANGLOSS-0000780,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_POIRES.xml,oai:crdo.vjf.cnrs.fr:cocoon-ef9fbcea-dfc5-34e9-b9b2-9f60981492f5,
83,oai:crdo.vjf.cnrs.fr:cocoon-ef9fbcea-dfc5-34e9-b9b2-9f60981492f5,2020-11-28,Na-našu,"Bartolino, Lucio",10.24397/PANGLOSS-0000781,237.0,https://cocoon.huma-num.fr/data/archi/masters/343906.wav,,
84,oai:crdo.vjf.cnrs.fr:cocoon-d609e772-b262-3156-8235-c21e28dcd26c,2020-11-29,Na-našu,"Romagnoli, Maria",10.24397/PANGLOSS-0000782,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_MANGEUR.xml,oai:crdo.vjf.cnrs.fr:cocoon-cfd7b079-0980-3d8d-a835-f59ce239980c,
85,oai:crdo.vjf.cnrs.fr:cocoon-cfd7b079-0980-3d8d-a835-f59ce239980c,2020-11-28,Na-našu,"Romagnoli, Maria",10.24397/PANGLOSS-0000783,33.0,https://cocoon.huma-num.fr/data/archi/masters/343899.wav,,
86,oai:crdo.vjf.cnrs.fr:cocoon-ec38880b-90de-382d-b2bd-c9669e5a21e3,2020-11-29,Na-našu,"Romagnoli, Maria",10.24397/PANGLOSS-0000784,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_ANE1.xml,oai:crdo.vjf.cnrs.fr:cocoon-d5b4df2c-40fa-3a82-952b-dcef4a77a4fa,
