,oai,datestamp,language,speaker,doi,length,uri,requires,type
2294,oai:crdo.vjf.cnrs.fr:cocoon-3584c3c0-8ff4-4c61-ab78-2998d318eca1,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000107,,https://cocoon.huma-num.fr/data/ridge/20150305f_p01s110.xml,oai:crdo.vjf.cnrs.fr:cocoon-8c5adbcf-61fb-46c5-9cd0-f9e45f0078a3,
2295,oai:crdo.vjf.cnrs.fr:cocoon-c802a1a3-433f-472b-bcff-b29c27f00246,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000108,241.0,,,narrative
2296,oai:crdo.vjf.cnrs.fr:cocoon-20523136-cc6d-4a48-9247-a439673e6644,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000109,,https://cocoon.huma-num.fr/data/ridge/20150305h_h01s111.xml,oai:crdo.vjf.cnrs.fr:cocoon-c802a1a3-433f-472b-bcff-b29c27f00246,
2297,oai:crdo.vjf.cnrs.fr:cocoon-5fa1000f-dabf-48be-84c2-4bd80768badf,2020-11-29,Vatlongos,Meriam Roy,10.24397/PANGLOSS-0000110,270.0,,,narrative
2298,oai:crdo.vjf.cnrs.fr:cocoon-b0e9bdc0-cf6f-437a-b5fa-4ae7caeda730,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000111,,https://cocoon.huma-num.fr/data/ridge/20150410a_h01s121.xml,oai:crdo.vjf.cnrs.fr:cocoon-5fa1000f-dabf-48be-84c2-4bd80768badf,
2299,oai:crdo.vjf.cnrs.fr:cocoon-8e0346bd-1dcc-4355-b3cc-519951c46b81,2020-11-29,Vatlongos,Merry Lulu,10.24397/PANGLOSS-0000112,100.0,,,
2300,oai:crdo.vjf.cnrs.fr:cocoon-17fc456e-d171-46f2-985e-f6a20532ac1b,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000113,,https://cocoon.huma-num.fr/data/ridge/20150413a_h01s122.xml,oai:crdo.vjf.cnrs.fr:cocoon-8e0346bd-1dcc-4355-b3cc-519951c46b81,
2301,oai:crdo.vjf.cnrs.fr:cocoon-54577e4e-0fd1-4bf2-8d54-3d33674083a3,2020-11-29,Vatlongos,Merry Lulu,10.24397/PANGLOSS-0000114,66.0,,,
2302,oai:crdo.vjf.cnrs.fr:cocoon-d43d2127-3556-40b0-9947-87679923389a,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000115,,https://cocoon.huma-num.fr/data/ridge/20150413a_h02s122.xml,oai:crdo.vjf.cnrs.fr:cocoon-54577e4e-0fd1-4bf2-8d54-3d33674083a3,
2303,oai:crdo.vjf.cnrs.fr:cocoon-21c03edb-e4d6-4413-81bc-de05743e8f43,2020-11-29,Vatlongos,Aram Luke,10.24397/PANGLOSS-0000116,111.0,,,narrative
2304,oai:crdo.vjf.cnrs.fr:cocoon-53cf32d2-bd85-455e-b323-3114acb75aac,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000117,,https://cocoon.huma-num.fr/data/ridge/20150414a_h01e124.xml,oai:crdo.vjf.cnrs.fr:cocoon-21c03edb-e4d6-4413-81bc-de05743e8f43,
2305,oai:crdo.vjf.cnrs.fr:cocoon-764507ec-a095-49f9-9a08-8987971355f2,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000118,25.0,,,narrative
2306,oai:crdo.vjf.cnrs.fr:cocoon-9065853e-9ee6-43b8-b058-5e204219aaf9,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000119,,https://cocoon.huma-num.fr/data/ridge/20150415a_h01s125.xml,oai:crdo.vjf.cnrs.fr:cocoon-764507ec-a095-49f9-9a08-8987971355f2,
